iter	Passed	Remaining
541	56274	47552
542	56368	47440
543	56469	47334
544	56561	47221
545	56643	47099
546	56731	46982
547	56826	46871
548	56920	46759
549	57022	46654
550	57117	46543
551	57205	46427
552	57420	46414
553	57537	46321
554	57640	46216
555	57768	46131
556	57932	46075
557	58056	45987
558	58241	45947
559	58368	45861
560	58515	45789
561	58674	45728
562	58788	45631
563	58930	45556
564	59051	45464
565	59144	45351
566	59249	45246
567	59342	45133
568	59508	45076
569	59612	44970
570	59740	44883
571	59868	44796
572	59981	44698
573	60080	44589
574	60182	44482
575	60337	44414
576	60454	44319
577	60561	44216
578	60653	44101
579	60824	44045
580	61039	44019
581	61145	43915
582	61251	43810
583	61358	43707
584	61591	43692
585	61857	43701
586	61950	43587
587	62048	43476
588	62138	43360
589	62233	43247
590	62325	43132
591	62423	43021
592	62521	42910
593	62619	42800
594	62740	42705
595	62839	42595
596	62926	42478
597	63026	42368
598	63127	42260
599	63222	42148
600	63342	42052
601	63456	41952
602	63580	41859
603	63691	41758
604	63777	41639
605	63887	41537
606	64009	41442
607	64101	41328
608	64204	41221
609	64299	41109
610	64401	41002
611	64523	40906
612	64745	40875
613	64848	40768
614	64949	40659
615	65059	40556
616	65165	40450
617	65282	40352
618	65390	40248
619	65490	40139
620	65606	40040
621	65711	39934
622	65831	39836
623	65955	39742
624	66306	39784
625	66511	39737
626	66736	39701
627	66981	39677
628	67086	39569
629	67137	39430
630	67266	39336
631	67462	39282
632	67692	39246
633	67792	39135
634	67942	39053
635	68090	38969
636	68231	38882
637	68341	38776
638	68433	38660
639	68535	38550
640	68575	38406
641	68675	38295
642	68770	38182
643	68877	38075
644	68980	37965
645	69095	37863
646	69184	37746
647	69279	37633
648	69380	37523
649	69514	37431
650	69638	37332
651	69753	37230
652	69852	37119
653	69952	37008
654	70049	36896
655	70153	36787
656	70257	36679
657	70372	36576
658	70468	36463
659	70572	36355
660	70665	36241
661	70755	36125
662	70856	36015
663	70954	35904
664	71042	35788
665	71140	35676
666	71246	35569
667	71357	35464
668	71477	35364
669	71572	35252
670	71664	35137
671	71758	35024
672	71853	34912
673	71938	34795
674	72029	34681
675	72117	34565
676	72207	34450
677	72322	34347
678	72418	34235
679	72504	34119
680	72596	34006
681	72697	33897
682	72800	33788
683	72897	33677
684	73000	33569
685	73133	33474
686	73274	33384
687	73397	33285
688	73489	33171
689	73589	33061
690	73682	32949
691	73787	32841
692	73928	32750
693	74045	32648
